id,channel,timestamp,status,category,target_department,priority,priority_rationale,short_summary,requested_actions,needs_clarification,clarifying_questions,deadline_mentioned,confidence,is_multi_request,language,attempts,error
REQ-001,Slack,2026-06-08 09:14,ok,звіт/аналітика,маркетинг,medium,"Регулярна ручна робота на годину щотижня, але без дедлайну і без блокера.",Автоматизувати щотижневий звіт по кампаніях Google Ads замість ручного вивантаження CSV щопонеділка.,Автоматизувати вивантаження основних метрик по кампаніях Google Ads | Формувати зведену таблицю зі звітом щопонеділка,False,,,0.78,False,uk,0,
REQ-002,Telegram,2026-06-08 09:31,ok,автоматизація,,low,"Немає ні дедлайну, ні опису задачі; брати в роботу як є неможливо.","Запит на створення бота без будь-яких деталей щодо задачі, каналу та користувачів.",,True,"Яку саме задачу має вирішувати бот? | В якому каналі він має працювати — Telegram, Slack чи інде? | Хто буде кінцевими користувачами?",,0.32,False,uk,0,
REQ-003,Email,2026-06-08 10:02,ok,автоматизація,продажі,medium,Чітко описана робоча задача без дедлайну; накопичення транскриптів не блокує процес.,Автоматично формувати саммарі та список домовленостей по кожному дзвінку і записувати їх у картку угоди PlanFix.,Генерувати коротке саммарі по кожному транскрипту дзвінка | Витягувати список домовленостей із розмови | Записувати результат у картку угоди в PlanFix,False,,,0.82,False,uk,0,
REQ-004,Slack,2026-06-08 10:20,ok,питання/консультація,маркетинг,low,"Автор прямо каже, що впроваджувати нічого не треба — це запит на думку.",Теоретичне питання про принципову можливість AI-оцінки якості статей у блозі перед публікацією.,Надати експертну думку щодо можливості AI-оцінки якості статей перед публікацією,False,,,0.88,False,uk,0,
REQ-005,Telegram,2026-06-08 11:05,ok,звіт/аналітика,бухгалтерія,high,Явний дедлайн сьогодні до вечора плюс маркер терміновості в тексті.,Терміново вивантажити список контрагентів із витратами понад 50к за травень для бухгалтерії.,Вивантажити список усіх контрагентів із витратами понад 50 000 за травень,False,,сьогодні до вечора,0.9,False,uk,0,
REQ-006,Email,2026-06-08 11:40,ok,звіт/аналітика,аналітика,medium,"Звичайна робоча задача з чітким описом, без вказаного дедлайну.","Сервіс, який бере щотижневий експорт з BigQuery і формує стислий текстовий опис ключових змін тиждень до тижня в Google Doc.",Брати щотижневий аналітичний експорт з BigQuery | Генерувати стислий опис ключових змін тиждень до тижня простою мовою | Публікувати результат у Google Doc,False,,,0.85,False,mixed,0,
REQ-007,Slack,2026-06-08 12:15,ok,баг/підтримка,фінанси,high,"Зламаний робочий процес, який триває кілька днів і блокує обробку рахунків.","З понеділка не працює парсинг інвойсів з Meta, рахунки не обробляються — треба полагодити.",Знайти причину зупинки парсингу інвойсів з Meta | Відновити роботу автоматизації | Визначити відповідального за цю інтеграцію,False,,,0.9,False,uk,0,
REQ-008,Telegram,2026-06-08 13:02,ok,поза скоупом,,low,Повідомлення не є запитом і не потребує дій.,"Подяка за раніше виконану роботу, запиту не містить.",,False,,,0.95,False,uk,0,
REQ-009,Email,2026-06-08 13:48,ok,автоматизація,HR,medium,"Задача описана детально, з відомим обсягом 30-50 резюме на тиждень, але без дедлайну.","Інструмент, який із PDF резюме витягує структуровані поля і дає коротку оцінку відповідності технічній вакансії.","Приймати на вхід PDF резюме | Витягувати структуровані поля: досвід, стек, відповідність вимогам | Формувати коротку оцінку кандидата",False,,,0.9,False,uk,0,
REQ-010,Slack,2026-06-08 14:11,ok,автоматизація,маркетинг,medium,Зрозуміла задача на моніторинг без дедлайну і без блокера.,"Збирати згадки про Netpeak у телеграм-каналах, робити щоденний дайджест і окремо алертити про негативні згадки.","Налаштувати збір згадок про Netpeak у телеграм-каналах | Формувати дайджест згадок раз на день | Надсилати алерт, якщо згадка негативна",False,,,0.8,True,uk,0,
REQ-011,Telegram,2026-06-08 14:55,ok,звіт/аналітика,,low,"Текст не містить ні задачі, ні дедлайну; сам по собі не блокує нічого.","Запит на якусь таблицю без вказівки даних, користувачів і призначення.",,True,"Яку саме таблицю і з якими даними треба? | Хто буде нею користуватись і як часто оновлювати? | Де має жити результат — Google Sheets, BI чи щось інше?",,0.25,False,uk,0,
REQ-012,Email,2026-06-08 15:30,ok,поза скоупом,SMM,low,"Запит зрозумілий, але адміністративний і без дедлайну; треба переадресувати.",Питання про процедуру закупівлі ноутбука для SMM-відділу — не в компетенції AI-юніту.,"Підказати, куди подати заявку на закупівлю обладнання",False,,,0.93,False,uk,0,
REQ-013,Slack,2026-06-08 16:02,ok,звіт/аналітика,маркетинг,low,"Дрібне доповнення до вже наявного запиту, дедлайну немає.","Додати автора до отримувачів того самого щотижневого звіту по Google Ads, який уже замовила колега.",Додати автора до списку отримувачів щотижневого звіту по Google Ads,False,,,0.85,False,uk,0,
REQ-014,Telegram,2026-06-08 16:40,ok,питання/консультація,,low,"Автор прямо пише, що не горить; це ідея на розгляд, а не задача.",Ідея зробити аналог стороннього інструменту за посиланням; конкретики щодо потрібного функціоналу немає.,,True,Яку саме частину функціоналу з прикладу треба відтворити? | Яку задачу всередині компанії це має вирішувати і для кого?,,0.58,False,uk,0,
REQ-015,Email,2026-06-08 17:12,ok,автоматизація,контент,medium,Автор явно назвав середній пріоритет і дедлайн до кінця місяця.,"Інструмент, який із довгого інтерв'ю робить 5 коротких постів для соцмереж у tone of voice компанії.",Приймати на вхід текст інтерв'ю обсягом 10-15 сторінок | Генерувати 5 коротких постів для соцмереж | Дотримуватись tone of voice компанії,False,,до кінця місяця,0.92,False,uk,0,
REQ-016,Slack,2026-06-09 09:08,ok,баг/підтримка,,medium,"Можлива деградація якості робочого інструменту, але без прикладів масштаб невідомий.","Асистент по базі знань іноді відповідає не по темі; автор не розуміє, чи це баг, чи очікувана поведінка.",,True,"Наведіть 2-3 конкретні приклади запитів і відповідей, що були не по темі | Яка база знань підключена до асистента і коли її востаннє оновлювали?",,0.55,False,uk,0,
REQ-017,Telegram,2026-06-09 09:50,ok,інтеграція,підтримка,high,Маркер терміновості плюс великий обсяг щоденної ручної роботи.,"Інтегрувати Slack із PlanFix, щоб повідомлення з каналу #support автоматично ставали тікетами.",Налаштувати інтеграцію Slack з PlanFix | Автоматично створювати тікети з повідомлень каналу #support,False,,,0.88,False,uk,0,
REQ-018,Email,2026-06-09 10:25,ok,звіт/аналітика,аналітика,medium,"Змістовна задача з чіткими вимогами, дедлайн не названий.","Щоденний дашборд на даних BigQuery, який показує аномальні стрибки витрат по підрядниках із поясненням природною мовою.","Щодня підтягувати дані з BigQuery | Виявляти аномальні стрибки витрат по підрядниках | Показувати аномалії у дашборді | Генерувати пояснення природною мовою, чому витрати виглядають підозріло",False,,,0.87,False,uk,0,
