id,channel,timestamp,status,category,target_department,priority,priority_rationale,short_summary,requested_actions,needs_clarification,clarifying_questions,deadline_mentioned,confidence,is_multi_request,language,attempts,error
REQ-001,Slack,2026-06-08 09:14,ok,автоматизація,,medium,Звичайна робоча задача з оптимізації рутинного процесу без термінового дедлайну чи критичного блокера.,Запит на автоматизацію щотижневого збору та зведення основних метрик Google Ads у таблицю.,Налаштувати автоматичну регулярну вигрузку метрик з Google Ads у таблицю замість ручного переносу CSV,False,,,0.9,False,uk,0,
REQ-002,Telegram,2026-06-08 09:31,ok,автоматизація,,low,"Запит без контексту, деталей та дедлайну, потребує повного уточнення.",Запит на розробку бота без надання конкретних вимог чи деталей.,,True,"Яку саме задачу має вирішувати бот? | У якому каналі/платформі він має працювати (Telegram, Slack тощо)? | Який функціонал та інтеграції необхідні?",,0.3,False,uk,0,
REQ-003,Email,2026-06-08 10:02,ok,автоматизація,,medium,Звичайна робоча задача з автоматизації процесу без вказаного критичного дедлайну.,Автоматична генерація саммарі дзвінків та передача домовленостей у PlanFix для відділу продажів.,Налаштувати автоматичне формування саммарі та списку домовленостей з транскриптів дзвінків | Забезпечити передачу згенерованих даних у картку угоди в PlanFix,False,,,0.9,False,uk,0,
REQ-004,Slack,2026-06-08 10:20,ok,питання/консультація,,low,"Запит має суто теоретичний характер, впровадження не вимагається, дедлайни відсутні.",Теоретичне питання щодо можливості використання AI для оцінки якості статей у блозі перед публікацією.,Надати експертну думку щодо технічної можливості використання AI для оцінки якості блог-статей,False,,,0.95,False,uk,0,
REQ-005,Telegram,2026-06-08 11:05,ok,звіт/аналітика,бухгалтерія,high,"Високий пріоритет зумовлений словами 'ГОРИТЬ', 'терміново' та дедлайном 'сьогодні до вечора'.",Терміновий запит на вивантаження списку контрагентів із витратами понад 50к за травень для бухгалтерії.,Вивантажити список контрагентів з витратами понад 50к за травень,False,,Сьогодні до вечора,0.95,False,uk,0,
REQ-006,Email,2026-06-08 11:40,ok,автоматизація,,medium,Звичайна робоча задача з розробки нового інструменту без вказання термінового дедлайну.,Розробка сервісу для автоматичної генерації текстових підсумків тижневої аналітики з BigQuery із збереженням у Google Doc.,Створити сервіс для обробки тижневого експорту аналітики з BigQuery | Налаштувати генерацію короткого текстового резюме ключових змін | Забезпечити вивантаження результату в Google Doc,False,,,0.9,False,mixed,0,
REQ-007,Slack,2026-06-08 12:15,ok,баг/підтримка,,high,"Зламаний робочий процес та заблокована обробка рахунків з понеділка, що потребує термінового виправлення.","Зламалася автоматизація парсингу інвойсів з Meta, рахунки не обробляються з понеділка, потрібно полагодити.",Полагодити автоматизацію парсингу інвойсів з Meta,False,,,0.95,False,uk,0,
REQ-008,Telegram,2026-06-08 13:02,ok,поза скоупом,,low,Повідомлення є подякою за виконане завдання і не містить нових запитів чи блокерів.,"Подяка за вчорашню роботу, додаткових задач немає.",,False,,,1.0,False,uk,0,
REQ-009,Email,2026-06-08 13:48,ok,автоматизація,HR,medium,Звичайна робоча задача щодо покращення процесів без зазначення жорстких дедлайнів чи наявності блокерів.,Запит від HR на створення системи автоматичного скринінгу PDF-резюме з витягом структурованих даних та отриманням оцінки кандидатів.,"Розробити рішення для розбору PDF-резюме | Налаштувати витяг структурованих даних (досвід, стек, відповідність вимогам) | Реалізувати генерацію короткої оцінки кандидата",False,,,0.95,False,uk,0,
REQ-010,Slack,2026-06-08 14:11,ok,автоматизація,,medium,Звичайна робоча задача з автоматизації процесів без вказання термінового дедлайну або блокуючих проблем.,Запит на автоматизацію щоденного дайджесту згадок про Netpeak у Telegram-каналах та налаштування сповіщень при негативних згадках.,Автоматизувати збір згадок про Netpeak у Telegram-каналах для створення щоденного дайджесту | Налаштувати алерти у разі виявлення негативних згадок,False,,,0.95,True,uk,0,
REQ-011,Telegram,2026-06-08 14:55,ok,звіт/аналітика,,low,Розмита ідея без вказаного дедлайну чи терміновості.,Запит на створення таблиці без конкретизації призначення та необхідних даних.,,True,Які дані має містити таблиця? | Яку задачу або процес вона повинна вирішувати? | З яких джерел потрібно отримувати інформацію?,,0.35,False,uk,1,
REQ-012,Email,2026-06-08 15:30,ok,поза скоупом,,low,"Запит стосується закупівлі обладнання та є питання процедури, терміновості чи дедлайнів немає.",Запит щодо процедури подачі заявки на закупівлю ноутбука для SMM-відділу.,,False,,,0.95,False,uk,0,
REQ-013,Slack,2026-06-08 16:02,ok,звіт/аналітика,,medium,Звичайна робоча задача без явного дедлайну або терміновості.,Запит на налаштування надсилання звіту по Google Ads для ще одного члена команди.,"Додати користувача до розсилки звіту по Google Ads, який раніше замовляла Оля",False,,,0.85,False,uk,0,
REQ-014,Telegram,2026-06-08 16:40,ok,питання/консультація,,low,"Запит має вигляд ідеї 'на подумати', а автор прямо вказав, що це 'не горить'.",Пропозиція ознайомитися з інструментом за посиланням та оцінити можливість розробки аналога.,,True,Які саме функції із зазначеного інструменту є найбільш пріоритетними для нашої компанії? | Яку конкретно задачу або процес має вирішувати цей інструмент?,,0.7,False,uk,0,
REQ-015,Email,2026-06-08 17:12,ok,автоматизація,,medium,Явно вказано середній пріоритет та орієнтовний дедлайн до кінця місяця.,"Запит на створення інструменту для команди контенту, який генерує 5 коротких постів для соцмереж із тексту інтерв'ю у потрібному tone of voice.",Розробити інструмент для генерації 5 постів для соцмереж з довгого тексту інтерв'ю з дотриманням tone of voice,False,,до кінця місяця,0.95,False,uk,0,
REQ-016,Slack,2026-06-09 09:08,ok,питання/консультація,,low,Інформаційний запит без дедлайну чи критичного впливу на робочий процес.,Питання щодо специфіки роботи асистента по базі знань та причин виникнення відповідей не по темі.,Надати консультацію щодо принципів роботи AI-асистента бази знань та пояснити причини неточних відповідей,False,,,0.9,False,uk,0,
REQ-017,Telegram,2026-06-09 09:50,ok,інтеграція,підтримка,high,Явно зазначена терміновість ('терміново треба') та велике навантаження через ручну роботу.,Запит на інтеграцію Slack-каналу #support із PlanFix для автоматичного створення тікетів.,Налаштувати інтеграцію між Slack (канал #support) та PlanFix для автоматичного створення тікетів з повідомлень,False,,,0.95,False,uk,0,
REQ-018,Email,2026-06-09 10:25,ok,звіт/аналітика,аналітика,medium,Звичайна робоча задача на розробку нового інструменту без термінових дедлайнів чи блокерів.,Запит на розробку дашборду з щоденним завантаженням даних з BigQuery для виявлення аномалій у витратах по підрядниках та генерації їх пояснень природною мовою.,Розробити дашборд із щоденним оновленням даних з BigQuery | Налаштувати виявлення аномалій та різких стрибків у витратах підрядників | Додати функціонал генерації пояснень виявлених аномалій природною мовою,False,,,0.9,False,uk,0,
